"","DBN","School Name","Year","NumTested","MeanScaleScore","Level1p","Level2p","Level3p","Level4p","Level34p","SchoolYear","LocationName","NumStudents","NumSchools","SchoolsInBuilding","MajorN","OthN","NoCrimN","PropN","VioN","GroupNameOfPop","BuildingPop","AvgMajor","AvgOth","AvgNoCrim","AvgPop","AvgVio","BoroughName","Postcode","Latitude","Longitude","CommunityBoard","CouncilDistrict","Census Tract.x","BIN.x","BBL.x","NTA","GroupNameofPop.y","BuildingPopulation.y","BIN.y","BBL.y","totCrime"
"68","02M408","PROFESSIONAL PERFORMING ARTS HIGH SCHOOL",2015,72,331,"0","33.3","36.1","30.6","66.7","2015","Professional Performing Arts High School",536,2,"P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION",0,3,3,3,0,"4C","501-750","0.46","1.65","2.77","1.17","0.75","MANHATTAN",10036,40.761448,-73.988019,4,3,127,1025092,1010380014,"Clinton","5C","751-1000",1025092,1010380014,9
"69","02M413","SCHOOL OF THE FUTURE HIGH SCHOOL",2015,275,327,"6.5","30.5","36.7","26.2","62.9","2015","School of the Future High School",713,1,"School of the Future High School",1,0,3,1,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10010,40.738952,-73.985479,5,2,68,1018014,1008780016,"Gramercy",NA,NA,NA,NA,5
"70","02M422","QUEST TO LEARN",2015,246,307,"24.8","40.7","21.5","13","34.6","2015","Quest to Learn",564,6,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",7,10,24,12,3,"4C","501-750","1.96","7.74","16.07","5.48","3.44","MANHATTAN",10011,40.742867,-74.002136,4,3,89,1013096,1007420007,"Hudson Yards-Chelsea-Flatiron-Union Square","10C","2001-2500",1013096,1007420007,56
"71","02M442","BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",2015,149,345,"1.3","15.4","30.2","53","83.2","2015","Ballet Tech, NYC Public School for Dance",150,1,"Ballet Tech, NYC Public School for Dance",0,1,0,1,0,"2C","1-250","0.36","0.76","1.17","0.64","0.37","MANHATTAN",10003,40.73859,-73.989911,5,2,52,1016163,1008487502,"Hudson Yards-Chelsea-Flatiron-Union Square",NA,NA,NA,NA,2
"72","02M655","LIFE SCIENCES SECONDARY SCHOOL",2015,62,274,"67.7","32.3","0","0","0","2015","Life Sciences Secondary School",697,1,"Life Sciences Secondary School",2,4,12,4,2,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10128,40.783625,-73.945637,8,5,15601,1050338,1015580034,"Yorkville",NA,NA,NA,NA,24
"73","02M896","LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL",2015,316,317,"17.1","33.5","29.4","19.9","49.4","2015","Lower Manhattan Community Middle School",366,3,"Richard R. Green High School of Teaching |  Lower Manhattan Community Middle School |  26 BROADWAY CONSOLIDATED LOCATION",4,14,15,7,10,"3C","251-500","0.89","3.22","5.07","2.18","1.64","MANHATTAN",10004,40.70568,-74.013302,1,1,9,1000811,1000220013,"Battery Park City-Lower Manhattan","7C","1251-1500",1000811,1000220013,50
"74","02M933","CITY KNOLL MIDDLE SCHOOL",2015,71,299,"25.4","52.1","11.3","11.3","22.5","2015","City Knoll Middle School",79,1,"City Knoll Middle School",0,0,0,0,0,"2C","1-250","0.36","0.76","1.17","0.64","0.37","MANHATTAN",10001,40.753091,-73.99764,4,3,103,1012851,1007310054,"Hudson Yards-Chelsea-Flatiron-Union Square",NA,NA,NA,NA,0
"75","03M009","P.S. 009 SARAH ANDERSON",2015,295,345,"3.7","13.6","26.8","55.9","82.7","2015","P.S. 009 Sarah Anderson",658,2,"P.S. 009 Sarah Anderson |  M.S. 243 Center School |  100 WEST  84 STREET CONSOLIDATED LOCATION",0,0,0,0,0,"4C","501-750","0.46","1.65","2.77","1.17","0.75","MANHATTAN",10024,40.785287,-73.97343,7,6,169,1032119,1012140029,"Upper West Side","5C","751-1000",1032119,1012140029,0
"76","03M054","J.H.S. 054 BOOKER T. WASHINGTON",2015,562,344,"9.3","6.8","22.1","61.9","84","2015","J.H.S. 054 Booker T. Washington",813,1,"J.H.S. 054 Booker T. Washington",1,4,1,2,3,"5C","751-1000","0.46","1.65","2.77","1.17","0.75","MANHATTAN",10025,40.800119,-73.962837,7,7,193,1055990,1018620011,"Morningside Heights","7C","1251-1500",1003223,1002690041,11
"77","03M075","P.S. 075 EMILY DICKINSON",2015,253,311,"24.1","27.7","28.5","19.8","48.2","2015","P.S. 075 Emily Dickinson",566,2,"P.S. 075 Emily Dickinson| M.S. 250 West Side Collaborative Middle School| 735 WEST END AVENUE CONSOLDATED LOCATION",0,0,2,0,0,"4C","501-750","0.46","1.65","2.77","1.17","0.75","MANHATTAN",10025,40.795157,-73.973292,7,6,183,1034190,1012530065,"Upper West Side","5C","751-1000",1034190,1012530065,2
